Gm#,Day,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday,5/5/2012,boxscore,BOS,@,DET,L-wo,2,3,,0-1,5,1,Valverde,Melancon,,3:07,D,45027,-,
2,Saturday,5/7/2012,boxscore,BOS,@,DET,L,0,10,,0-2,4,2,Below,Beckett,,2:53,D,44710,--,
3,Sunday,5/8/2012,boxscore,BOS,@,DET,L-wo,12,13,11,0-3,4,3,Below,Melancon,,4:45,D,30788,---,
4,Monday,5/9/2012,boxscore,BOS,@,TOR,W,4,2,,3-Jan,4,2.5,Atchison,Santos,Aceves,3:02,N,48473,+,
5,Tuesday,5/10/2012,boxscore,BOS,@,TOR,L,3,7,,4-Jan,5,2.5,Drabek,Bard,,3:19,N,26351,-,
6,Wednesday, 5/11/2012,boxscore,BOS,@,TOR,L,1,3,,5-Jan,5,3.5,Romero,Lester,Santos,2:13,D,25285,--,
7,Friday, 5/13/2012,boxscore,BOS,,TBR,W,12,2,,5-Feb,5,2,Beckett,Price,,3:19,D,37032,+,
8,Saturday, 5/14/2012,boxscore,BOS,,TBR,W,13,5,,5-Mar,5,2,Buchholz,Badenhop,,3:18,D,38024,++,
9,Sunday, 5/15/2012,boxscore,BOS,,TBR,W,6,4,,5-Apr,4,1,Padilla,Moore,Aceves,3:12,D,38024,+++,
10,Monday, 5/16/2012,boxscore,BOS,,TBR,L,0,1,,6-Apr,5,2,Shields,Bard,Rodney,3:08,D,38108,-,
11,Tuesday, 5/17/2012,boxscore,BOS,,TEX,L,3,18,,7-Apr,5,3,Lewis,Lester,,3:25,N,38229,--,
12,Wednesday, 5/18/2012,boxscore,BOS,,TEX,L,3,6,,8-Apr,5,3,Holland,Beckett,,3:03,N,37967,---,
13,Friday, 5/20/2012,boxscore,BOS,,NYY,L,2,6,,9-Apr,5,3.5,Nova,Buchholz,,3:18,D,36770,----,
14,Saturday, 5/21/2012,boxscore,BOS,,NYY,L,9,15,,10-Apr,5,4.5,Soriano,Aceves,,3:52,D,37839,-----,
15,Monday, 5/23/2012,boxscore,BOS,@,MIN,W,6,5,,10-May,5,4.5,Bard,Capps,Aceves,3:12,N,32351,+,
16,Tuesday, 5/24/2012,boxscore,BOS,@,MIN,W,11,2,,10-Jun,5,3.5,Beckett,Blackburn,,3:03,N,33651,++,
17,Wednesday, 5/25/2012,boxscore,BOS,@,MIN,W,7,6,,10-Jul,5,3.5,Buchholz,Hendriks,Aceves,3:32,N,32254,+++,
18,Thursday, 5/26/2012,boxscore,BOS,@,CHW,W,10,3,,10-Aug,5,3.5,Doubront,Humber,Tazawa,3:03,N,20266,++++,
19,Friday, 5/27/2012,boxscore,BOS,@,CHW,W,10,3,,10-Sep,5,3.5,Bard,Danks,,2:47,N,20414,+++++,
20,Saturday, 5/28/2012,boxscore,BOS,@,CHW,W,1,0,,10-Oct,5,2.5,Lester,Peavy,Aceves,2:44,N,20057,++++++,
21,Sunday, 5/29/2012,boxscore,BOS,@,CHW,L,1,4,,11-Oct,5,3.5,Floyd,Beckett,Thornton,2:58,D,22811,-,
22,Monday, 5/30/2012,boxscore,BOS,,OAK,W,11,6,,11-Nov,5,3.5,Buchholz,Milone,,3:23,N,37359,+,
23,Tuesday, 5/1/2012,boxscore,BOS,,OAK,L,3,5,,12-Nov,5,4.5,Parker,Doubront,Norberto,3:31,N,37225,-,
24,Wednesday, 5/2/2012,boxscore,BOS,,OAK,L,2,4,,13-Nov,5,5.5,McCarthy,Bard,Fuentes,3:22,N,37434,--,
25,Friday, 5/4/2012,boxscore,BOS,,BAL,L,4,6,13,14-Nov,5,7,Patton,Morales,Johnson,4:37,N,37223,---,
26,Saturday, 5/5/2012,boxscore,BOS,,BAL,L,2,8,,15-Nov,5,7,Hammel,Cook,,2:56,D,37581,----,
27,Sunday, 5/6/2012,boxscore,BOS,,BAL,L,6,9,17,16-Nov,5,7.5,Davis,McDonald,,6:07,D,37394,-----,
28,Monday, 5/7/2012,boxscore,BOS,@,KCR,W,11,5,,16-Dec,5,6.5,Doubront,Sanchez,Padilla,3:11,N,19502,+,
29,Tuesday, 5/8/2012,boxscore,BOS,@,KCR,L,4,6,,17-Dec,5,6.5,Mijares,Bard,Broxton,2:52,N,20524,-,
30,Wednesday, 5/9/2012,boxscore,BOS,@,KCR,L,3,4,,18-Dec,5,7.5,Chen,Lester,Broxton,2:55,N,18339,--,
31,Thursday, 5/10/2012,boxscore,BOS,,CLE,L,3,8,,19-Dec,5,7.5,Lowe,Beckett,,3:11,N,37348,---,
32,Friday, 5/11/2012,boxscore,BOS,,CLE,W,7,5,,13-19,5,7.5,Buchholz,Jimenez,Aceves,3:57,N,37438,+,
33,Saturday, 5/12/2012,boxscore,BOS,,CLE,W,4,1,,14-19,5,7.5,Doubront,McAllister,Aceves,2:30,N,38048,++,
34,Sunday, 5/13/2012,boxscore,BOS,,CLE,W,12,1,,15-19,5,6.5,Bard,Masterson,,2:37,D,37611,+++,
35,Monday, 5/14/2012,boxscore,BOS,,SEA,W,6,1,,16-19,5,5.5,Lester,Vargas,,2:25,N,37334,++++,
36,Tuesday, 5/15/2012,boxscore,BOS,,SEA,W,5,0,,17-19,5,5.5,Beckett,Beavan,,2:53,D,37292,+++++,
37,Wednesday, 5/16/2012,boxscore,BOS,@,TBR,L,1,2,,17-20,5,6.5,Hellickson,Buchholz,Rodney,3:29,N,20843,-,
38,Thursday, 5/17/2012,boxscore,BOS,@,TBR,W,5,3,,18-20,5,6.5,Doubront,Moore,Aceves,3:16,N,19842,+,
39,Friday, 5/18/2012,boxscore,BOS,@,PHI,L,4,6,,18-21,5,7.5,Hamels,Bard,Papelbon,2:50,N,45205,-,
40,Saturday, 5/19/2012,boxscore,BOS,@,PHI,W,7,5,,19-21,5,7.5,Lester,Blanton,Aceves,3:11,N,45656,+,
41,Sunday, 5/20/2012,boxscore,BOS,@,PHI,W,5,1,,20-21,5,6.5,Beckett,Lee,,2:46,D,45586,++,
42,Monday, 5/21/2012,boxscore,BOS,@,BAL,W,8,6,,21-21,4,5.5,Miller,Gregg,Aceves,3:16,N,16392,+++,
43,Tuesday, 5/22/2012,boxscore,BOS,@,BAL,L,1,4,,21-22,5,6.5,Matusz,Doubront,Johnson,2:57,N,25171,-,
44,Wednesday, 5/23/2012,boxscore,BOS,@,BAL,W,6,5,,22-22,5,5.5,Bard,Arrieta,Aceves,3:28,D,27806,+,
45,Friday, 5/25/2012,boxscore,BOS,,TBR,L,4,7,,22-23,5,6.5,Cobb,Lester,Rodney,3:25,N,37594,-,
46,Saturday, 5/26/2012,boxscore,BOS,,TBR,W-wo,3,2,,23-23,5,5.5,Hill,Rodney,,3:00,N,38099,+,
47,Sunday, 5/27/2012,boxscore,BOS,,TBR,L,3,4,,23-24,5,5.5,McGee,Aceves,Rodney,3:22,D,37844,-,
48,Monday, 5/28/2012,boxscore,BOS,,DET,W,7,4,,24-24,5,4.5,Doubront,Fister,,2:37,D,37921,+,
49,Tuesday, 5/29/2012,boxscore,BOS,,DET,W,6,3,,25-24,5,3.5,Bard,Verlander,Aceves,3:15,N,37216,++,
50,Wednesday, 5/30/2012,boxscore,BOS,,DET,W,6,4,,26-24,5,2.5,Albers,Dotel,Aceves,3:04,N,37195,+++,
51,Thursday, 5/31/2012,boxscore,BOS,,DET,L,3,7,,26-25,5,3,Scherzer,Beckett,,3:23,N,37629,-,
52,Friday, 6/1/2012,boxscore,BOS,@,TOR,W,7,2,,27-25,4,3,Buchholz,Alvarez,,3:00,N,29678,+,
53,Saturday, 6/2/2012,boxscore,BOS,@,TOR,W,7,4,,28-25,4,2,Doubront,Drabek,Aceves,3:05,D,43390,++,
54,Sunday, 6/3/2012,boxscore,BOS,@,TOR,L,1,5,,28-26,4,3,Hutchison,Bard,,2:52,D,41925,-,
55,Tuesday, 6/5/2012,boxscore,BOS,,BAL,L,6,8,10,28-27,5,3,Johnson,Aceves,,3:34,N,37181,--,
56,Wednesday, 6/6/2012,boxscore,BOS,,BAL,L,1,2,,28-28,5,4,Chen,Beckett,Johnson,2:31,N,37243,---,
57,Thursday, 6/7/2012,boxscore,BOS,,BAL,W,7,0,,29-28,5,3,Buchholz,Matusz,,2:50,N,37307,+,
58,Friday, 6/8/2012,boxscore,BOS,,WSN,L,4,7,,29-29,5,4,Strasburg,Doubront,Clippard,3:13,N,37309,-,
59,Saturday, 6/9/2012,boxscore,BOS,,WSN,L,2,4,,29-30,5,5,Gonzalez,Matsuzaka,Clippard,2:53,D,37534,--,
60,Sunday, 6/10/2012,boxscore,BOS,,WSN,L,3,4,,29-31,5,6,Gorzelanny,Aceves,Clippard,3:06,D,37467,---,
61,Monday, 6/11/2012,boxscore,BOS,@,MIA,L,1,4,,29-32,5,6.5,Johnson,Beckett,Bell,2:35,N,32562,----,
62,Tuesday, 6/12/2012,boxscore,BOS,@,MIA,W,2,1,,30-32,5,6.5,Buchholz,Buehrle,Aceves,2:55,N,29326,+,
63,Wednesday, 6/13/2012,boxscore,BOS,@,MIA,W,10,2,,31-32,4,6.5,Doubront,Nolasco,,2:58,N,33119,++,
64,Friday, 6/15/2012,boxscore,BOS,@,CHC,L,0,3,,31-33,5,7.5,Dempster,Matsuzaka,Marmol,2:41,D,40073,-,
65,Saturday, 6/16/2012,boxscore,BOS,@,CHC,W,4,3,,32-33,5,7.5,Lester,Samardzija,Aceves,3:06,N,40766,+,
66,Sunday, 6/17/2012,boxscore,BOS,@,CHC,W,7,4,,33-33,5,7.5,Albers,Camp,,3:17,N,38531,++,
67,Tuesday, 6/19/2012,boxscore,BOS,,MIA,W,7,5,,34-33,5,7,Buchholz,Buehrle,Aceves,2:53,N,37701,+++,
68,Wednesday, 6/20/2012,boxscore,BOS,,MIA,W,15,5,,35-33,4,6,Doubront,Nolasco,,3:14,N,37362,++++,
69,Thursday, 6/21/2012,boxscore,BOS,,MIA,W,6,5,,36-33,4,5.5,Atchison,Mujica,Aceves,3:09,N,37261,+++++,
